suburb,state,postcode,lat,lng,label
Acton,ACT,2601,-35.28,149.11,"Acton, ACT 2601"
Ainslie,ACT,2602,-35.26,149.15,"Ainslie, ACT 2602"
Amaroo,ACT,2914,-35.17,149.13,"Amaroo, ACT 2914"
Aranda,ACT,2614,-35.26,149.08,"Aranda, ACT 2614"
Banks,ACT,2906,-35.52,149.08,"Banks, ACT 2906"
Barton,ACT,2600,-35.31,149.14,"Barton, ACT 2600"
Beard,ACT,2620,-35.58,149.23,"Beard, ACT 2620"
Belconnen,ACT,2617,-35.24,149.07,"Belconnen, ACT 2617"
Belconnen Dc,ACT,2617,-35.24,149.07,"Belconnen Dc, ACT 2617"
Bonner,ACT,2914,-35.17,149.13,"Bonner, ACT 2914"
Bonython,ACT,2905,-35.43,149.08,"Bonython, ACT 2905"
Braddon,ACT,2612,-35.27,149.13,"Braddon, ACT 2612"
Bruce,ACT,2617,-35.24,149.07,"Bruce, ACT 2617"
Calwell,ACT,2905,-35.43,149.08,"Calwell, ACT 2905"
Campbell,ACT,2612,-35.27,149.13,"Campbell, ACT 2612"
Canberra,ACT,2600,-35.31,149.14,"Canberra, ACT 2600"
Canberra,ACT,2601,-35.28,149.11,"Canberra, ACT 2601"
Capital Hill,ACT,2600,-35.31,149.14,"Capital Hill, ACT 2600"
Casey,ACT,2913,-35.2,149.13,"Casey, ACT 2913"
Causeway,ACT,2604,-35.32,149.15,"Causeway, ACT 2604"
Chapman,ACT,2611,-35.56,148.62,"Chapman, ACT 2611"
Charnwood,ACT,2615,-35.2,149.03,"Charnwood, ACT 2615"
Chifley,ACT,2606,-35.35,149.08,"Chifley, ACT 2606"
Chisholm,ACT,2905,-35.43,149.08,"Chisholm, ACT 2905"
City,ACT,2601,-35.28,149.11,"City, ACT 2601"
Conder,ACT,2906,-35.52,149.08,"Conder, ACT 2906"
Cook,ACT,2614,-35.26,149.08,"Cook, ACT 2614"
Crace,ACT,2911,-35.22,149.12,"Crace, ACT 2911"
Curtin,ACT,2605,-35.32,149.08,"Curtin, ACT 2605"
Deakin,ACT,2600,-35.31,149.14,"Deakin, ACT 2600"
Deakin West,ACT,2600,-35.31,149.14,"Deakin West, ACT 2600"
Dickson,ACT,2602,-35.26,149.15,"Dickson, ACT 2602"
Downer,ACT,2602,-35.26,149.15,"Downer, ACT 2602"
Duffy,ACT,2611,-35.56,148.62,"Duffy, ACT 2611"
Dunlop,ACT,2615,-35.2,149.03,"Dunlop, ACT 2615"
Erindale Centre,ACT,2903,-35.4,149.1,"Erindale Centre, ACT 2903"
Evatt,ACT,2617,-35.24,149.07,"Evatt, ACT 2617"
Fadden,ACT,2904,-35.4,149.12,"Fadden, ACT 2904"
Farrer,ACT,2607,-35.38,149.1,"Farrer, ACT 2607"
Fisher,ACT,2611,-35.56,148.62,"Fisher, ACT 2611"
Florey,ACT,2615,-35.2,149.03,"Florey, ACT 2615"
Flynn,ACT,2615,-35.2,149.03,"Flynn, ACT 2615"
Forde,ACT,2914,-35.17,149.13,"Forde, ACT 2914"
Forrest,ACT,2603,-35.32,149.12,"Forrest, ACT 2603"
Franklin,ACT,2913,-35.2,149.13,"Franklin, ACT 2913"
Fraser,ACT,2615,-35.2,149.03,"Fraser, ACT 2615"
Fyshwick,ACT,2609,-35.3,149.19,"Fyshwick, ACT 2609"
Garran,ACT,2605,-35.32,149.08,"Garran, ACT 2605"
Gilmore,ACT,2905,-35.43,149.08,"Gilmore, ACT 2905"
Giralang,ACT,2617,-35.24,149.07,"Giralang, ACT 2617"
Gordon,ACT,2906,-35.52,149.08,"Gordon, ACT 2906"
Gowrie,ACT,2904,-35.4,149.12,"Gowrie, ACT 2904"
Greenway,ACT,2900,-35.42,149.07,"Greenway, ACT 2900"
Griffith,ACT,2603,-35.32,149.12,"Griffith, ACT 2603"
Gungahlin,ACT,2912,-35.52,149.08,"Gungahlin, ACT 2912"
Hackett,ACT,2602,-35.26,149.15,"Hackett, ACT 2602"
Hall,ACT,2618,-35.52,149.08,"Hall, ACT 2618"
Harman,ACT,2600,-35.31,149.14,"Harman, ACT 2600"
Harrison,ACT,2914,-35.17,149.13,"Harrison, ACT 2914"
Hawker,ACT,2614,-35.26,149.08,"Hawker, ACT 2614"
Higgins,ACT,2615,-35.2,149.03,"Higgins, ACT 2615"
Hmas Creswell,ACT,2540,-34.89,150.53,"Hmas Creswell, ACT 2540"
Hmas Harman,ACT,2600,-35.31,149.14,"Hmas Harman, ACT 2600"
Holder,ACT,2611,-35.56,148.62,"Holder, ACT 2611"
Holt,ACT,2615,-35.2,149.03,"Holt, ACT 2615"
Hughes,ACT,2605,-35.32,149.08,"Hughes, ACT 2605"
Hume,ACT,2620,-35.58,149.23,"Hume, ACT 2620"
Isaacs,ACT,2607,-35.38,149.1,"Isaacs, ACT 2607"
Isabella Plains,ACT,2905,-35.43,149.08,"Isabella Plains, ACT 2905"
Jamison Centre,ACT,2614,-35.26,149.08,"Jamison Centre, ACT 2614"
Jervis Bay,ACT,2540,-34.89,150.53,"Jervis Bay, ACT 2540"
Kaleen,ACT,2617,-35.24,149.07,"Kaleen, ACT 2617"
Kambah,ACT,2902,-35.38,149.05,"Kambah, ACT 2902"
Kambah Village,ACT,2902,-35.38,149.05,"Kambah Village, ACT 2902"
Kingston,ACT,2604,-35.32,149.15,"Kingston, ACT 2604"
Kippax,ACT,2615,-35.2,149.03,"Kippax, ACT 2615"
Latham,ACT,2615,-35.2,149.03,"Latham, ACT 2615"
Lawson,ACT,2617,-35.24,149.07,"Lawson, ACT 2617"
Lyneham,ACT,2602,-35.26,149.15,"Lyneham, ACT 2602"
Lyons,ACT,2606,-35.35,149.08,"Lyons, ACT 2606"
Macarthur,ACT,2904,-35.4,149.12,"Macarthur, ACT 2904"
Macgregor,ACT,2615,-35.2,149.03,"Macgregor, ACT 2615"
Macquarie,ACT,2614,-35.26,149.08,"Macquarie, ACT 2614"
Majura,ACT,2609,-35.3,149.19,"Majura, ACT 2609"
Manuka,ACT,2603,-35.32,149.12,"Manuka, ACT 2603"
Mawson,ACT,2607,-35.38,149.1,"Mawson, ACT 2607"
Mckellar,ACT,2617,-35.24,149.07,"Mckellar, ACT 2617"
Melba,ACT,2615,-35.2,149.03,"Melba, ACT 2615"
Mitchell,ACT,2911,-35.22,149.12,"Mitchell, ACT 2911"
Monash,ACT,2904,-35.4,149.12,"Monash, ACT 2904"
Moncrieff,ACT,2914,-35.17,149.13,"Moncrieff, ACT 2914"
Narrabundah,ACT,2604,-35.32,149.15,"Narrabundah, ACT 2604"
Ngunnawal,ACT,2913,-35.2,149.13,"Ngunnawal, ACT 2913"
Nicholls,ACT,2913,-35.2,149.13,"Nicholls, ACT 2913"
Oaks Estate,ACT,2620,-35.58,149.23,"Oaks Estate, ACT 2620"
Oxley,ACT,2903,-35.4,149.1,"Oxley, ACT 2903"
Page,ACT,2614,-35.26,149.08,"Page, ACT 2614"
Palmerston,ACT,2913,-35.2,149.13,"Palmerston, ACT 2913"
Parkes,ACT,2600,-35.31,149.14,"Parkes, ACT 2600"
Pearce,ACT,2607,-35.38,149.1,"Pearce, ACT 2607"
Phillip,ACT,2606,-35.35,149.08,"Phillip, ACT 2606"
Pialligo,ACT,2609,-35.3,149.19,"Pialligo, ACT 2609"
Red Hill,ACT,2603,-35.32,149.12,"Red Hill, ACT 2603"
Reid,ACT,2612,-35.27,149.13,"Reid, ACT 2612"
Richardson,ACT,2905,-35.43,149.08,"Richardson, ACT 2905"
Rivett,ACT,2611,-35.56,148.62,"Rivett, ACT 2611"
Russell,ACT,2600,-35.31,149.14,"Russell, ACT 2600"
Scullin,ACT,2614,-35.26,149.08,"Scullin, ACT 2614"
Spence,ACT,2615,-35.2,149.03,"Spence, ACT 2615"
Stirling,ACT,2611,-35.56,148.62,"Stirling, ACT 2611"
Symonston,ACT,2609,-35.3,149.19,"Symonston, ACT 2609"
Taylor,ACT,2913,-35.2,149.13,"Taylor, ACT 2913"
Tharwa,ACT,2620,-35.58,149.23,"Tharwa, ACT 2620"
Theodore,ACT,2905,-35.43,149.08,"Theodore, ACT 2905"
Torrens,ACT,2607,-35.38,149.1,"Torrens, ACT 2607"
Turner,ACT,2612,-35.27,149.13,"Turner, ACT 2612"
University Of Canberra,ACT,2617,-35.24,149.07,"University Of Canberra, ACT 2617"
Wanniassa,ACT,2903,-35.4,149.1,"Wanniassa, ACT 2903"
Waramanga,ACT,2611,-35.56,148.62,"Waramanga, ACT 2611"
Watson,ACT,2602,-35.26,149.15,"Watson, ACT 2602"
Weetangera,ACT,2614,-35.26,149.08,"Weetangera, ACT 2614"
Weston,ACT,2611,-35.56,148.62,"Weston, ACT 2611"
Weston Creek,ACT,2611,-35.56,148.62,"Weston Creek, ACT 2611"
Williamsdale,ACT,2620,-35.58,149.23,"Williamsdale, ACT 2620"
Woden,ACT,2606,-35.35,149.08,"Woden, ACT 2606"
Yarralumla,ACT,2600,-35.31,149.14,"Yarralumla, ACT 2600"
Aarons Pass,NSW,2850,-32.86,149.8,"Aarons Pass, NSW 2850"
Abbotsbury,NSW,2176,-33.88,150.87,"Abbotsbury, NSW 2176"
Abbotsford,NSW,2046,-33.85,151.13,"Abbotsford, NSW 2046"
Abercrombie,NSW,2795,-33.91,149.33,"Abercrombie, NSW 2795"
Abercrombie River,NSW,2795,-33.91,149.33,"Abercrombie River, NSW 2795"
Aberdare,NSW,2325,-32.84,151.38,"Aberdare, NSW 2325"
Aberdeen,NSW,2336,-32.16,150.89,"Aberdeen, NSW 2336"
Aberfoyle,NSW,2350,-30.24,152.01,"Aberfoyle, NSW 2350"
Aberglasslyn,NSW,2320,-32.69,151.53,"Aberglasslyn, NSW 2320"
Abermain,NSW,2326,-32.81,151.43,"Abermain, NSW 2326"
Abernethy,NSW,2325,-32.84,151.38,"Abernethy, NSW 2325"
Abington,NSW,2350,-30.24,152.01,"Abington, NSW 2350"
Acacia Gardens,NSW,2763,-33.73,150.91,"Acacia Gardens, NSW 2763"
Adaminaby,NSW,2629,-36.0,148.77,"Adaminaby, NSW 2629"
Adamstown,NSW,2289,-32.93,151.73,"Adamstown, NSW 2289"
Adamstown Heights,NSW,2289,-32.93,151.73,"Adamstown Heights, NSW 2289"
Adelong,NSW,2729,-35.31,148.06,"Adelong, NSW 2729"
Adjungbilly,NSW,2727,-35.08,148.41,"Adjungbilly, NSW 2727"
Afterlee,NSW,2474,-28.59,152.83,"Afterlee, NSW 2474"
Agnes Banks,NSW,2753,-33.62,150.71,"Agnes Banks, NSW 2753"
Airds,NSW,2560,-34.08,150.83,"Airds, NSW 2560"
Akolele,NSW,2546,-36.36,150.08,"Akolele, NSW 2546"
Albert,NSW,2873,-32.42,147.51,"Albert, NSW 2873"
Albion Park,NSW,2527,-34.57,150.78,"Albion Park, NSW 2527"
Albion Park Rail,NSW,2527,-34.57,150.78,"Albion Park Rail, NSW 2527"
Albury,NSW,2640,-36.08,146.91,"Albury, NSW 2640"
Aldavilla,NSW,2440,-31.06,152.77,"Aldavilla, NSW 2440"
Alectown,NSW,2870,-32.93,148.26,"Alectown, NSW 2870"
Alexandria,NSW,2015,-33.9,151.2,"Alexandria, NSW 2015"
Alfords Point,NSW,2234,-33.99,151.02,"Alfords Point, NSW 2234"
Alfredtown,NSW,2650,-35.16,147.51,"Alfredtown, NSW 2650"
Alice,NSW,2469,-29.34,153.0,"Alice, NSW 2469"
Alison,NSW,2259,-33.27,151.4,"Alison, NSW 2259"
Alison,NSW,2420,-32.43,151.77,"Alison, NSW 2420"
Allambie Heights,NSW,2100,-33.77,151.25,"Allambie Heights, NSW 2100"
Allandale,NSW,2320,-32.69,151.53,"Allandale, NSW 2320"
Allawah,NSW,2218,-33.97,151.11,"Allawah, NSW 2218"
Alleena,NSW,2671,-34.11,147.14,"Alleena, NSW 2671"
Allgomera,NSW,2441,-30.82,152.83,"Allgomera, NSW 2441"
Allworth,NSW,2425,-32.54,151.96,"Allworth, NSW 2425"
Allynbrook,NSW,2311,-32.36,151.54,"Allynbrook, NSW 2311"
Alma Park,NSW,2659,-35.6,146.79,"Alma Park, NSW 2659"
Alpine,NSW,2575,-34.41,150.52,"Alpine, NSW 2575"
Alstonvale,NSW,2477,-28.81,153.45,"Alstonvale, NSW 2477"
Alstonville,NSW,2477,-28.81,153.45,"Alstonville, NSW 2477"
Alumy Creek,NSW,2460,-29.05,152.59,"Alumy Creek, NSW 2460"
Amaroo,NSW,2866,-33.18,148.93,"Amaroo, NSW 2866"
Ambarvale,NSW,2560,-34.08,150.83,"Ambarvale, NSW 2560"
Anambah,NSW,2320,-32.69,151.53,"Anambah, NSW 2320"
Ando,NSW,2631,-36.74,149.26,"Ando, NSW 2631"
Anembo,NSW,2621,-35.81,149.43,"Anembo, NSW 2621"
Angledale,NSW,2550,-36.64,149.86,"Angledale, NSW 2550"
Angledool,NSW,2834,-29.43,147.98,"Angledool, NSW 2834"
Anglers Reach,NSW,2629,-36.0,148.77,"Anglers Reach, NSW 2629"
Angourie,NSW,2464,-29.48,153.36,"Angourie, NSW 2464"
Anna Bay,NSW,2316,-32.78,152.08,"Anna Bay, NSW 2316"
Annandale,NSW,2038,-33.88,151.17,"Annandale, NSW 2038"
